names,scores,logfoldchanges,pvals,pvals_adj,cluster
Foxj1,184.41826,7.7278285,0.0,0.0,6
Aox3,152.99634,4.341215,0.0,0.0,6
Rsph1,146.37099,7.3489895,0.0,0.0,6
Cd55,128.68443,3.6054516,0.0,0.0,6
Appl2,123.7367,3.3368452,0.0,0.0,6
Por,119.590614,3.2776706,0.0,0.0,6
Lratd2,119.063675,2.9705815,0.0,0.0,6
Enah,115.2771,3.6869092,0.0,0.0,6
Sox2,109.10749,7.5129805,0.0,0.0,6
Cat,106.73452,2.4566846,0.0,0.0,6
Cfap65,104.575554,8.239239,0.0,0.0,6
Cdh1,103.469444,1.4797157,0.0,0.0,6
Cyb5a,99.45379,1.8646985,0.0,0.0,6
Clic6,98.50695,2.601976,0.0,0.0,6
Epcam,94.68368,2.9733133,0.0,0.0,6
Mtus1,93.476776,2.1195693,0.0,0.0,6
Klf5,93.043655,2.1631978,0.0,0.0,6
Cxcl12,139.35463,4.6018524,0.0,0.0,28
Amy2a5,53.252472,3.6093044,0.0,0.0,28
Hc,32.837795,2.1168418,1.7013323456763042e-236,4.084817946142822e-234,28
Cd84,25.51128,2.338802,1.4777445809261726e-143,1.4058090900056156e-141,28
Diras1,24.340136,3.3549013,7.37392464739134e-131,5.80927001127299e-129,28
Lif,20.736048,3.5156488,1.6384914788667985e-95,8.42987146576163e-94,28
Lamp3,18.184277,1.223974,6.8756695203159296e-74,2.6667019785717626e-72,28
Rbpjl,16.378517,2.9109128,2.7230134514076295e-60,8.527598647203272e-59,28
Chil1,11.226256,1.0142045,3.0304687870279645e-29,4.163385183704359e-28,28
Pfkfb2,9.781231,1.825472,1.355518786401099e-22,1.4091805610380084e-21,28
Abca3,8.99002,1.0036062,2.471854891376493e-19,2.2619042399855315e-18,28
Fgfr2,7.8846664,1.1933644,3.1537724277224658e-15,2.35575119712247e-14,28
Lrp2,7.1687727,1.7549856,7.567304212634486e-13,4.935879410103891e-12,28
Aox3,6.195874,1.1316702,5.796231654270794e-10,3.1256256685383256e-09,28
Trpv1,5.501726,4.0713224,3.760910847333732e-08,1.7956924708576397e-07,28
Mlc1,4.870861,1.9164433,1.1111303926358623e-06,4.692059832219445e-06,28
Grk3,4.7914248,1.284391,1.6560095185711868e-06,6.91764705272239e-06,28
Gpam,4.736675,1.1253068,2.172533334486715e-06,8.971263777626548e-06,28
Defa5,4.5937133,3.6726568,4.354273994299867e-06,1.7549360095331677e-05,28
Itga7,4.526815,1.8774463,5.987937854137185e-06,2.3752090109338355e-05,28
Txnip,31.73479,2.7101836,5.14818223341144e-221,1.7304756547240319e-218,33
Rab7,15.142792,1.922971,8.454734374436937e-52,3.739365852272898e-50,33
Csf3r,4.022601,2.2154894,5.7558952279601006e-05,0.0002020976583521924,33
Mmp9,2.5675735,2.2857497,0.010241306071445628,0.02553742097538519,33
Pdia3,2.416498,1.1316142,0.015670610945105315,0.037517198663447764,33
Cxcr2,2.3284342,2.0616114,0.019889059728365827,0.0467073307640524,33
Il1rn,1.2033348,1.8724084,0.22884676164221052,0.41356464953405925,33
Ccl3,1.0838019,2.6260638,0.27845266639847377,0.48986683321043434,33
Cd177,0.8906129,1.8251898,0.3731368877241673,0.6287028713267382,33
Acod1,0.6714251,2.4509556,0.5019497483745525,0.7953584636406329,33
Ffar2,0.5690423,1.8586159,0.5693273993590288,0.8803468362110183,33
Cd33,0.47758105,1.5668163,0.6329484156265915,0.9497993784491888,33
Hcar2,0.4452718,2.7094853,0.6561233507389153,0.9732785920640219,33
Itgam,0.43361437,1.3398261,0.6645684977662889,0.9827781936828025,33
Mxd1,0.41058406,1.5258777,0.6813775619691016,0.9998003252248785,33
Nlrp12,0.33455896,2.303273,0.7379578146653237,0.9998003252248785,33
Cd300lf,0.296981,1.3693212,0.7664810181269467,0.9998003252248785,33
Cd300ld,0.2935081,1.8276649,0.7691338067454421,0.9998003252248785,33
Sell,0.19951764,1.0349454,0.8418578463619252,0.9998003252248785,33
Fpr2,0.18765216,1.3701763,0.8511493421765582,0.9998003252248785,33
Msn,180.80818,3.4714584,0.0,0.0,0
Csf3r,9.811565,2.4544559,1.0039864321074662e-22,4.953130714956795e-22,0
Cxcr2,6.5646243,2.4454343,5.2164215754359225e-11,1.6881384841686727e-10,0
Mmp9,5.653539,2.328146,1.571771542725717e-08,4.464134318160331e-08,0
Sell,2.9948363,1.455377,0.002745921427433264,0.00552912773047864,0
Itgam,1.6614003,1.4495667,0.09663307038748065,0.16338831015884556,0
Cd177,1.3561249,1.6450902,0.17505943413190628,0.2833546282160743,0
Mxd1,1.1320384,1.5286205,0.2576183034298639,0.40201531596823703,0
Cd300lf,0.9957094,1.3429106,0.31939134284089044,0.4885834801589107,0
Fgr,0.91163087,1.4123853,0.3619630821968579,0.5479659116636437,0
Fpr2,0.9091564,1.5772469,0.3632675861306518,0.5493686770458147,0
Acod1,0.8960006,2.155309,0.37025242657666957,0.558591482585149,0
Nfe2,0.8833713,1.8515592,0.3770357027326702,0.5672975270600188,0
Nlrp12,0.79764843,2.379758,0.42507455108571524,0.6303605548747577,0
Trem1,0.70674795,1.9427862,0.4797231412571674,0.701497702499605,0
Ccl3,0.6851549,1.760932,0.49324616942133115,0.7171127987953724,0
Clec4e,0.6765718,1.7662197,0.4986776968593052,0.722924941795462,0
Cd33,0.58240914,1.4542452,0.5602911249610087,0.7977938017660001,0
Padi4,0.5032901,1.6173544,0.6147603081340708,0.8612451996699042,0
